"ID";"Type";"Name";"Documentation";"Specialization"
"id-087419d598194eee80c7f93ba8b591d1";"ArchimateModel";"Seguros_Arqui";"";""
"id-f32a9b86a3eb4109be0d303149afa8ad";"Capability";"Gestión digital de clientes";"";""
"id-518ffeef465a44169c23f8bdfdae043f";"Capability";"Seguros basados en datos";"";""
"id-e2a37140d69f4783adccc7edc2a5f411";"CourseOfAction";"Estrategia de vinculación digital con el cliente";"";""
"id-e2dc2820b1904ced800b499c2da9723a";"Resource";"Apps de redes sociales";"";""
"id-7ce7d0b450e34c718b860708b906b15b";"Resource";"Automatización de Analisis de Datos";"";""
"id-f134ed0a1eb845aea3e33e6cf25607d7";"Resource";"Automatización de CRM en toda la empresa";"";""
"id-7aeff755ee2841e2b44e6f0cfc8327f7";"Resource";"Automatización del Back Office integrado";"";""
"id-42a8aa379fd645e29cfe9fad3a5158d8";"Resource";"Fuentes de Datos Externas";"";""
"id-6d9ac724750b4ccea089a3973ebbefc5";"Resource";"Personal con competencias en Analisis de Datos";"";""
"id-b667029b5b9e4317a28049eaac51269d";"Resource";"Personal con competencias en Redes Sociales";"";""
"id-fc85299545c146da9d83a70842a79dee";"ValueStream";"01 Desarrollar Productos";"";""
"id-dc81dac9f74b41349be573084f79da4e";"ValueStream";"02 Comercializar y vender los productos";"";""
"id-78170a866bef4a7ab489e956abc1edde";"ValueStream";"03 Gestionar politicas y reclamaciones";"";""
"id-bdd7abee05394ba9aa410ca0dcb49055";"ValueStream";"04 Atender a Clientes";"";""
"id-6ee66f601fdb4419aaf304bf5f3f76ab";"ValueStream";"Adquisición Producto de Seguros";"";""
"id-be7731859dff47ee99e3eb82546476c3";"BusinessActor";"Back Office";"";""
"id-648256d031d446c8965510d25f3c3e3a";"BusinessActor";"Centro de servicios compartidos";"";""
"id-bcee79f5a155458e854c3347298eb478";"BusinessActor";"Front Office";"";""
"id-b501050d4ec145759a3310408f1e6998";"BusinessActor";"Gestion de automóviles";"";""
"id-17e3c13511e9469680c125e25db76d59";"BusinessActor";"Gestión de gastos legales";"";""
"id-d0f71d4638ab46289dbc9029bc081844";"BusinessActor";"Gestión de vivienda y viajes";"";""
"id-c0f1fbc9412040978270e0afb781dd70";"BusinessActor";"Seguros Arqui";"";""
"id-b13809e6f1ad4b12b27dd62a876bcf54";"ApplicationComponent";"Propuesta de Solucion de Arquitectura";"";""
"id-b7ff6693f1294c9dacaf41001322d5ff";"Assessment";"Amplia cobertura de productos";"";""
"id-d17058d2bb654f21b18518f250c6e9e4";"Assessment";"Clientes se van a la competencia con experiencia digital superior ";"";""
"id-365161b6bb3a4de9a1c1d502a64c7a4e";"Assessment";"Clientes se van a la competencia con primas de seguros más bajas";"";""
"id-765f23d6e35b4b8b9f1cc91b44fde434";"Assessment";"Clientes se van a la competencia con primas más bajas";"";""
"id-0c0879cb84754eaaa410eb3c5442de61";"Assessment";"Fortalecer posición de la marca";"";""
"id-903e0ba925464dc0a700bd57abf89286";"Assessment";"Ineficiencias en operaciones internas";"";""
"id-ad3798e4cd9a4447adab36b74d97484e";"Driver";"Metas Ventas";"";""
"id-a5c6dca4bd2d44c8811afe2a64e5750c";"Driver";"Portafolio Producto";"";""
"id-f6556569672c4638abe9e9ea269c3f2e";"Driver";"Precio";"";""
"id-08bc8346417f44dd9251c58cab455d0b";"Driver";"Rentabilidad";"";""
"id-d7531fa58880471f93d51a2c4f9ef407";"Driver";"Satisfaccion Cliente";"";""
"id-0a922c67c5864a3b826ed4f08f0d83e7";"Driver";"Satisfaccion Interesados";"";""
"id-1745c2d447534fc783945f54a333d72a";"Goal";"Configuración de primas competitivas";"";""
"id-a9de1e4c97534eb683d14f1e5139328c";"Goal";"Incrementar las ganancias";"";""
"id-5d8e24651beb4103b6786c806eacbfe9";"Goal";"Incremento de la cuota de mercado";"";""
"id-c2ec88f8826c4e319cd0cf2fa9a8bb3b";"Goal";"Mayor retención de clientes";"";""
"id-8720d2fa68fe451db32632496d27b886";"Goal";"Mejorar la consistencia de datos";"";""
