"ID";"Type";"Name";"Documentation";"Source";"Target";"Specialization"
"id-3933ae020b5b402eaa9cffe9caf943dc";"AggregationRelationship";"";"";"id-0a922c67c5864a3b826ed4f08f0d83e7";"id-08bc8346417f44dd9251c58cab455d0b";""
"id-f67738f4669045b0bce07ae792333e9e";"AggregationRelationship";"";"";"id-a9de1e4c97534eb683d14f1e5139328c";"id-60a67ea9489947368a1fe9d806d7ba4c";""
"id-1daa105eecb84aa8a361093547b0d346";"AggregationRelationship";"";"";"id-5204f01a814948919511915ca2d242a3";"id-b591e44e6a684f2c85a9e8e88816ba9c";""
"id-f737a26973cb4d45b553181c6ac7fa39";"AggregationRelationship";"";"";"id-5204f01a814948919511915ca2d242a3";"id-6eefa6979e234d69b269766299e1dbb7";""
"id-957ff5c756bb4947aab624360d724cbe";"AggregationRelationship";"";"";"id-69c7fe16c4b34840bd7d9c95b3ec093e";"id-06c7b30b74324a798b19e2e9974c9e5c";""
"id-d120b91061af403aa9e420f3ecf30ab1";"AggregationRelationship";"";"";"id-69c7fe16c4b34840bd7d9c95b3ec093e";"id-45b2f30be92d48d79a6d76e02adb1fb1";""
"id-6cc261ec8b5b499581f756e450bd8c9f";"AggregationRelationship";"";"";"id-a6673d7052544846ac70213f7429ebe6";"id-bcee79f5a155458e854c3347298eb478";""
"id-e11ea5575b1443b2a1638275c83a2194";"AggregationRelationship";"";"";"id-a6673d7052544846ac70213f7429ebe6";"id-d0f71d4638ab46289dbc9029bc081844";""
"id-040e0a61b69e4c9a9796f2cb64a68ea5";"AggregationRelationship";"";"";"id-a11e75494584478aad72360d2b78b750";"id-17e3c13511e9469680c125e25db76d59";""
"id-7ec6f27a951345d99f660c57a4cfea5a";"AggregationRelationship";"";"";"id-a2d21ae933d64ad8a8e26c912acf5210";"id-b501050d4ec145759a3310408f1e6998";""
"id-d0363cb6f90c4b6f9a088d267b1c4ede";"AggregationRelationship";"";"";"id-a2d21ae933d64ad8a8e26c912acf5210";"id-648256d031d446c8965510d25f3c3e3a";""
"id-e272c97447c841f79bda3d670e291a75";"AssociationRelationship";"";"";"id-ad3798e4cd9a4447adab36b74d97484e";"id-d1ab959fb10043b79d57681bfa1ded32";""
"id-871ef5348e184af3835903ee05323c55";"AssociationRelationship";"";"";"id-0a922c67c5864a3b826ed4f08f0d83e7";"id-d1ab959fb10043b79d57681bfa1ded32";""
"id-f1f620dd678f426ebfb7dd7d51a3a884";"AssociationRelationship";"";"";"id-d7531fa58880471f93d51a2c4f9ef407";"id-d1ab959fb10043b79d57681bfa1ded32";""
"id-97af1fecf6e94a1aba4c8823ad29cd63";"AssociationRelationship";"";"";"id-d7531fa58880471f93d51a2c4f9ef407";"id-cea8599b5c1c4728bd5c05519c96a1b3";""
"id-c04406efac5f41159bc0991425b723d2";"AssociationRelationship";"";"";"id-a5c6dca4bd2d44c8811afe2a64e5750c";"id-cea8599b5c1c4728bd5c05519c96a1b3";""
"id-a889fc93da97475185e08b387c5bbb69";"AssociationRelationship";"";"";"id-f6556569672c4638abe9e9ea269c3f2e";"id-cea8599b5c1c4728bd5c05519c96a1b3";""
"id-674b3a61dc9b4157ae2505835dc71b36";"AssociationRelationship";"";"";"id-08bc8346417f44dd9251c58cab455d0b";"id-d17058d2bb654f21b18518f250c6e9e4";""
"id-f72d31ced8564f24b9c5bee8f9846446";"AssociationRelationship";"";"";"id-08bc8346417f44dd9251c58cab455d0b";"id-765f23d6e35b4b8b9f1cc91b44fde434";""
"id-7bcf6bffffba4d089fec3b64268cc17f";"AssociationRelationship";"";"";"id-365161b6bb3a4de9a1c1d502a64c7a4e";"id-08bc8346417f44dd9251c58cab455d0b";""
"id-6ad87d66965e4c3197bd7ca7257d4683";"AssociationRelationship";"";"";"id-903e0ba925464dc0a700bd57abf89286";"id-5204f01a814948919511915ca2d242a3";""
"id-4e634702da674a30bef7bbdc272a3259";"AssociationRelationship";"";"";"id-b7ff6693f1294c9dacaf41001322d5ff";"id-9141c1d2081a47919fefc3ba9fa101e1";""
"id-235b44f491f848ffa91cc57006e71b11";"AssociationRelationship";"";"";"id-0c0879cb84754eaaa410eb3c5442de61";"id-60a67ea9489947368a1fe9d806d7ba4c";""
"id-71a68e26ea7d4ca1ae9c115988cb18ff";"AssociationRelationship";"";"";"id-08bc8346417f44dd9251c58cab455d0b";"id-d1ab959fb10043b79d57681bfa1ded32";""
"id-2455bccc1b1344a895ae9f8e9df40791";"AssociationRelationship";"";"";"id-9141c1d2081a47919fefc3ba9fa101e1";"id-cea8599b5c1c4728bd5c05519c96a1b3";""
"id-75ba79f48cd84b5890c16667fb16b3e8";"AssociationRelationship";"";"";"id-0ba544a6012a498895f32ae98db33ed2";"id-9ec73d8aef3b44e293abd25f65104546";""
"id-412244cb96244d7caf1897c02cc7a636";"AssociationRelationship";"";"";"id-b53d97940df84862888e7e336f9aeee2";"id-c97ab788b568498a9353093994106da7";""
"id-70ec6b58efdf471496bd770db926a9ac";"AssociationRelationship";"";"";"id-a6f6e94dc459437b935879697783f87c";"id-801ccb342fab4858933fe1169d04660d";""
"id-96ce76cd4d904c3e93fe4095dd20366d";"AssociationRelationship";"";"";"id-d3875a13fcca4f399ca4b67ab0893f95";"id-a6f45c55789c4b0fa0702e54abfb8277";""
"id-98db91082372440788389409ca326d13";"AssociationRelationship";"";"";"id-f0b6f103fc8d4a558b79c875e0e48781";"id-a6f45c55789c4b0fa0702e54abfb8277";""
"id-e44baac67e814565bafae32093d417e7";"CompositionRelationship";"";"";"id-c0f1fbc9412040978270e0afb781dd70";"id-bcee79f5a155458e854c3347298eb478";""
"id-15b45e2597074907896547d5a1f7842a";"CompositionRelationship";"";"";"id-c0f1fbc9412040978270e0afb781dd70";"id-be7731859dff47ee99e3eb82546476c3";""
"id-3f4601ae78c74fdca8236f7c15f2b6ea";"CompositionRelationship";"";"";"id-c0f1fbc9412040978270e0afb781dd70";"id-648256d031d446c8965510d25f3c3e3a";""
